iter	Passed	Remaining
0	272	217388
1	305	121970
2	361	96106
3	401	79962
4	445	70901
5	472	62568
6	496	56265
7	519	51456
8	547	48100
9	576	45576
10	598	42945
11	620	40748
12	645	39065
13	668	37519
14	686	35913
15	704	34526
16	725	33397
17	748	32522
18	767	31560
19	783	30541
20	800	29682
21	817	28900
22	835	28212
23	854	27638
24	874	27104
25	892	26561
26	912	26115
27	930	25658
28	944	25122
29	963	24733
30	980	24326
31	999	23978
32	1020	23716
33	1049	23644
34	1095	23945
35	1147	24346
36	1172	24183
37	1195	23976
38	1216	23740
39	1243	23624
40	1268	23489
41	1287	23239
42	1314	23138
43	1335	22945
44	1355	22747
45	1374	22528
46	1426	22847
47	1445	22648
48	1460	22391
49	1475	22128
50	1493	21936
51	1512	21750
52	1534	21625
53	1557	21511
54	1578	21378
55	1594	21189
56	1612	21025
57	1633	20894
58	1650	20726
59	1666	20555
60	1687	20449
61	1715	20417
62	1742	20387
63	1810	20825
64	1853	20960
65	1878	20887
66	1939	21216
67	2044	22010
68	2091	22153
69	2116	22070
70	2143	22008
71	2167	21913
72	2212	22030
73	2248	22063
74	2271	21957
75	2299	21908
76	2332	21903
77	2363	21878
78	2397	21884
79	2705	24348
80	2731	24245
81	2777	24323
82	2804	24227
83	2844	24243
84	2870	24148
85	2923	24271
86	2948	24161
87	2968	24014
88	2994	23919
89	3024	23857
90	3047	23744
91	3071	23638
92	3098	23551
93	3114	23389
94	3131	23239
95	3148	23091
96	3171	22985
97	3187	22833
98	3207	22714
99	3232	22629
100	3263	22587
101	3293	22536
102	3359	22730
103	3394	22714
104	3437	22750
105	3464	22684
106	3494	22632
107	3530	22621
108	3550	22511
109	3575	22425
110	3602	22363
111	3624	22267
112	3659	22246
113	3690	22208
114	3717	22144
115	3739	22050
116	3771	22017
117	3802	21975
118	3820	21862
119	3839	21759
120	3856	21642
121	3875	21534
122	3893	21429
123	3911	21322
124	3930	21225
125	3949	21125
126	3969	21036
127	3983	20914
128	4023	20929
129	4043	20837
130	4060	20734
131	4077	20637
132	4099	20557
133	4121	20484
134	4137	20382
135	4157	20299
136	4188	20268
137	4219	20239
138	4249	20206
139	4285	20204
140	4315	20169
141	4336	20096
142	4362	20040
143	4385	19980
144	4409	19920
145	4429	19839
146	4451	19774
147	4475	19715
148	4514	19724
149	4535	19652
150	4557	19586
151	4575	19507
152	4596	19438
153	4616	19363
154	4635	19287
155	4651	19202
156	4668	19121
157	4687	19048
158	4705	18970
159	4724	18896
160	4738	18808
161	4759	18743
162	4777	18670
163	4799	18611
164	4819	18546
165	4836	18472
166	4853	18396
167	4875	18342
168	4898	18290
169	4915	18214
170	4933	18146
171	4953	18084
172	4971	18016
173	5006	18012
174	5052	18043
175	5071	17980
176	5097	17940
177	5130	17926
178	5159	17899
179	5182	17850
180	5207	17808
181	5255	17844
182	5289	17834
183	5309	17776
184	5329	17718
185	5356	17681
186	5391	17673
187	5413	17621
188	5437	17578
189	5454	17511
190	5470	17442
191	5484	17368
192	5508	17324
193	5528	17268
194	5546	17207
195	5566	17154
196	5590	17113
197	5610	17059
198	5628	16999
199	5648	16944
200	5666	16886
201	5684	16828
202	5700	16764
203	5715	16698
204	5734	16643
205	5752	16588
206	5773	16540
207	5792	16487
208	5811	16433
209	5829	16378
210	5846	16320
211	5868	16276
212	5889	16230
213	5909	16182
214	5924	16121
215	5958	16109
216	5983	16074
217	6030	16098
218	6049	16048
219	6066	15994
220	6089	15954
221	6113	15918
222	6139	15886
223	6163	15849
224	6184	15805
225	6203	15755
226	6223	15708
227	6242	15660
228	6264	15619
229	6286	15579
230	6310	15544
231	6334	15508
232	6355	15465
233	6379	15430
234	6399	15385
235	6419	15340
236	6442	15303
237	6487	15320
238	6513	15289
239	6530	15238
240	6545	15181
241	6565	15139
242	6585	15094
243	6603	15047
244	6624	15005
245	6648	14971
246	6664	14920
247	6689	14888
248	6709	14846
249	6731	14809
250	6750	14765
251	6772	14726
252	6797	14696
253	6843	14711
254	6870	14683
255	6897	14656
256	6918	14618
257	6948	14596
258	6974	14568
259	6996	14531
260	7025	14509
261	7045	14467
262	7062	14420
263	7081	14378
264	7116	14367
265	7145	14344
266	7162	14297
267	7181	14255
268	7197	14207
269	7223	14178
270	7252	14157
271	7289	14150
272	7317	14125
273	7358	14125
274	7381	14091
275	7403	14056
276	7422	14013
277	7455	13999
278	7499	14004
279	7533	13991
280	7566	13975
281	7592	13946
282	7643	13962
283	7664	13925
284	7696	13908
285	7721	13876
286	7744	13842
287	7768	13810
288	7788	13770
289	7809	13733
290	7829	13694
291	7864	13681
292	7883	13641
293	7901	13599
294	7914	13549
295	7939	13518
296	7955	13473
297	7974	13433
298	7990	13388
299	8011	13353
300	8034	13319
301	8051	13276
302	8072	13240
303	8093	13205
304	8115	13171
305	8132	13129
306	8149	13087
307	8167	13046
308	8187	13009
309	8205	12969
310	8224	12931
311	8240	12889
312	8259	12850
313	8278	12813
314	8297	12775
315	8320	12743
316	8365	12745
317	8382	12706
318	8406	12675
319	8426	12640
320	8471	12640
321	8501	12619
322	8516	12577
323	8536	12541
324	8587	12551
325	8616	12528
326	8639	12497
327	8661	12464
328	8694	12447
329	8715	12413
330	8736	12379
331	8759	12347
