feature,importance
first_7d_ctr,7998.066040196562
last_7d_ctr,2775.7981553847308
n_observed_distinct_days,949.547971746272
last_7d_clicks,870.2207589555794
first_7d_revenue_usd,833.0521925993762
first_7d_roas,717.5878711479309
first_7d_cvr,717.3996233483595
last_7d_roas,644.2033330378235
last_7d_spend_usd,606.8128173943842
last_7d_impressions,582.6235046930378
text_density,522.4636331149522
novelty_score,480.07832629434233
first_7d_conversions,463.06318884038774
last_7d_cvr,413.14763846292044
first_7d_clicks,395.3526789955795
clutter_score,391.9190968731201
readability_score,388.0745214278295
brand_visibility_score,366.96918899503873
motion_score,336.30735599959735
duration_sec,308.72327314116046
last_7d_conversions,227.7927334129654
first_7d_spend_usd,213.08223691740568
last_7d_revenue_usd,181.9870047554141
first_7d_ipm,179.6002306092414
copy_length_chars,137.33423043612856
product_count,129.94146928191185
first_7d_impressions,121.83288147079296
format,107.55955415964127
hook_type,98.0740527510643
width,86.00820755213499
faces_count,53.75631411373615
last_7d_ipm,30.992295682430267
height,27.64840081334114
has_ugc_style,18.137694850564003
has_discount_badge,10.6042240858078
has_price,5.570924937725067
has_gameplay,2.2025920301675797
theme,1.9771689772605896
vertical,0.0
language,0.0
dominant_color,0.0
emotional_tone,0.0
